case_id,activity,timestamp
1336562.1623594074,/processmining/,2022-05-23 18:39:00
1336562.1623594074,/processmining/about/,2022-05-23 18:39:00
1336562.1623594074,/processmining/,2022-05-23 18:51:00
1336562.1623594074,/processmining/,2022-05-23 18:55:00
1336562.1623594074,/processmining/,2022-05-23 18:56:00
1336562.1623594074,/processmining/,2022-05-23 18:57:00
1336562.1623594074,/processmining/,2022-05-23 18:58:00
1336562.1623594074,/processmining/,2022-05-23 19:09:00
1336562.1623594074,/processmining/,2022-05-23 19:10:00
1336562.1623594074,/processmining/,2022-05-23 19:12:00
1336562.1623594074,/processmining/,2022-05-23 19:13:00
1336562.1623594074,/processmining/,2022-05-23 19:17:00
1336562.1623594074,/processmining/,2022-05-23 19:18:00
1336562.1623594074,/processmining/,2022-05-23 19:20:00
1336562.1623594074,/processmining/,2022-05-23 19:21:00
1336562.1623594074,/processmining/,2022-05-23 19:23:00
1336562.1623594074,/processmining/,2022-05-23 19:26:00
1336562.1623594074,/processmining/,2022-05-23 19:33:00
1336562.1623594074,/processmining/,2022-05-23 19:36:00
1336562.1623594074,/processmining/,2022-05-23 19:37:00
1336562.1623594074,/processmining/,2022-05-23 19:43:00
1336562.1623594074,/processmining/,2022-05-23 19:44:00
1336562.1623594074,/processmining/,2022-05-23 19:46:00
1336562.1623594074,/processmining/,2022-05-23 19:47:00
1336562.1623594074,/processmining/,2022-05-23 19:53:00
1336562.1623594074,/processmining/,2022-05-23 19:54:00
1336562.1623594074,/processmining/,2022-05-23 19:55:00
1336562.1623594074,/processmining/,2022-05-23 19:57:00
1336562.1623594074,/processmining/,2022-05-23 19:59:00
1336562.1623594074,/processmining/,2022-05-23 20:01:00
1336562.1623594074,/processmining/,2022-05-23 20:02:00
1336562.1623594074,/processmining/,2022-05-23 20:03:00
1336562.1623594074,/processmining/,2022-05-23 20:04:00
1336562.1623594074,/processmining/,2022-05-23 20:05:00
1336562.1623594074,/processmining/,2022-05-23 20:06:00
1336562.1623594074,/processmining/,2022-05-23 20:15:00
1336562.1623594074,/processmining/,2022-05-23 20:16:00
1336562.1623594074,/processmining/,2022-05-23 20:22:00
1336562.1623594074,/processmining/,2022-05-23 20:24:00
1336562.1623594074,/processmining/,2022-05-23 20:26:00
1336562.1623594074,/processmining/,2022-05-23 20:30:00
1336562.1623594074,/processmining/partner/,2022-05-23 20:31:00
1336562.1623594074,process_end,2022-05-23 20:31:00
1398818.1654133082,/tool/,2022-06-02 10:24:00
1398818.1654133082,process_end,2022-06-02 10:24:00
2804179.1654133284,/tool/,2022-06-02 10:28:00
2804179.1654133284,process_end,2022-06-02 10:28:00
5200816.165422182,/tool/,2022-06-03 11:03:00
5200816.165422182,process_end,2022-06-03 11:03:00
5667046.165415938,/,2022-06-02 17:43:00
5667046.165415938,process_end,2022-06-02 17:43:00
6883661.165404317,/general-member/,2022-06-01 16:08:00
6883661.165404317,/recruitment/,2022-06-01 16:08:00
6883661.165404317,/overview/,2022-06-01 16:09:00
